Transcript,Label,translated_words,full_source_language
사람 전라도 광주 태장 42 고요 명동 에서 10 정도 근무 했었 200 보여 그리고 인데 저녁 사람 으십니까 면은 얼마 저희 수학 에서 현장 에서 우리 하나 통장 고요 하나 만들 다면 혹시 2016 16 경기도 광명시 철산동 지점 에서 혹시 니까 현장 에서 발견 우리 하나 통장 2016 16 경기도 광명시 철산 지점 에서 통장 발급 확인 구여 직접 발급 으신 다는 말씀 세요 2016 16 발급 어머니 께서 계시 간략 게라도 생각나,1,"I saw 200 in Gwangju Taejang 42 Myeong -dong, Jeolla -do.Bankbook 2016, 16, Gwangmyeong -si, Gyeonggi -do.",korean
서울 중앙지 숫자 인데 개인 정보 유출 때문 확인 연락 드렸 습니다 혹시 김용진 라고 으신 처음 어요 일단 저희 검찰청 에서 김용식 실제로 건강 상태 인데 근데 그거 현장 에서 재량 신용 카드 과정 에서 명의 하나 통장 발견 어서 연락 드린 겁니다 일단 정확히 연락처 본인 금전 객관 으로 김용식 일당 에게 개인 정보 유출 인한 명의 도용 피해자 인지 여부 파악 연락 드린 겁니다 그럼 본인 께서 내용 으십니까 저녁 모르 나요 사건 경기 대해서 말씀 드리 자면 중고 나라 사이트 계십시오 중고 나라 에서 물건 사용 입금 자금 인식 못한 피해 자분 피해 자분 현재 본인 으로 고소 고발 조치 취해 상태 2300 궁금 거나 내용,1,"This is the number of Seoul Central District, but I contacted you because of the leak of personal information.I contacted Kim Yong -sik's party to know if it was a victim of a stolen person who leaked personal information.Currently, I am curious about the status 2300",korean
여기 끝내 2005 김창호 도용 사건 고요 감당 서울 중앙 지검 지능 범죄 수사 외계인 밝혀 면서 입니다 명일동 통장 불법 현장 에서 나왔 때문 본인 직접 결과 다니 아니 당하 던지 현장 에서 통장 결정 자동 결제 시켰 어요 여러분 통장 으로 본인 직접 통장 어디 어디 계좌 습니까 본인 명의 통영 아닙니까 계절 사거리 정말 간절 제대로,1,"At the end of the 2005 Kim Chang -ho Steal Incident High School, the Seoul Central Prosecutor's Intelligent Criminal Investigation.Isn't it your name Tongyeong?",korean
웨딩 으로 원래 그대로 근데 그것 요즘 웨딩 그런 추세 라고 수원 용인 그러 돌잔치 그렇 원래 면은 근데 서울 으로 해야 서울 으로 교통비 너무 많이 3000 왕복 6000 그것 그것 얼마,0,"Originally as a wedding, but it's a wedding trend.",korean
답답 지금 선생 본인 래요 자기 성함 아니 에요 아니 통해서 통화 어요 답답 십니다 진짜 아니 결과 아실 예요 지금 어떤 사태 지금 발생 복잡 어요 지금 굉장히 복잡 경찰 에서 아서 구요 경찰서 신고 해서 편취 으면 그쪽 에서 잘못 으면 그쪽 에서 그런데 그거 그렇 사람 으로 완전 개떡 만들 진짜 사기 네요 아니 지금 지금 납득 됩니다 납득 지금 저희 어떻게 돌아가 모르 지금 고객 말씀 전부 거짓 예요 지금 무슨 거짓 말씀 세요 지금 상황 상황 아닌데 지금 무슨 상황 다시 말씀 세요 통화 으시 대요 통화 대요 통화 고객 센터 에서 직접 연락 때문 에서 아서 그걸 지금 지금 어디 통화 셔서 예요 수협 고객 아니 면은 저기 반대 반대쪽 입금 번호 입금 입금 본사 센터 전화 예요 그렇 미치 지금 으면 어쩔 구요 어쨌든 지금 너무 황당 상황 에서 경찰 신고 부분 어쨌든 통화 돌려드릴 경찰서 통해서 돌려드릴 니까 그렇게 계세요 그리고 지금 까지 통화 모두 녹취 때문 그쪽 에서 신고 으면 신고 에요 계세요 사람 병신 취급 해도 고객 지금 녹음 어요 세요 세요 네네 말씀 으세요 그리고 답답 합니다 답답 합니다 아뇨 답답 어요 통해서 정식 으로 확인 부분 때문 통해서 처리 다고 경찰 통해서 처리 구요 그쪽 에서 했잖아요 경찰서 저희 신고 다니까요 신고 세요 신고 드라고요 지금 신고 다니깐요 저희 신고 에요 경찰서 신고 드라고요 저희 보이스 피싱 당한 라고요 저희 장난치 세요 지금 지금 비싼 지금 장난 습니까 그러게 그럼 정당 통화 했는데도 그렇게 한다면 무고죄 신고 에요 그렇게 계시 나중 통화,1,"I'm frustrated now. I'm not your name. No, it's a call. I'm frustrated. It's a frustration.It's a real scam to make a perfect dog rice cake, it's convinced now.I'm going to call you now.And so far, all the calls are recorded, so if you report it there, you can report it. Even if you treat it, even if you treat the person, you can record it now.I did it in the police station because I reported it. I'm reporting it. I'm reporting now. I'm reporting. It's our police station. It's our voice phishing.call",korean
서울 중앙 지검 김진호 수사관 입니다 잠시 통화 세요 언제 실까요 다름 아니 명의 도용 결제 한도 혐의 본인 관련 사건 연료 어서 확인 연락 드린 겁니다 언제 통화 실까요 서울 중앙 지방 검찰청 고요 첨단 범죄 수사 김진호 수사관 입니다 지금 번호 전화번호부 으로 전화,1,Seoul Central Prosecutors' Investigator Kim Jin -ho This is a call for a while.,korean
여보세요 들어왔 습니까 수고 십니다 서울 지방 경찰청 정장 입니다 본인 으로 10 사건 어서 연락 드려 고요 자기 전자 금융 거래 사건 으로 고도 들어왔 어요 집안일 설명 드릴 텐데 혹시 어떤 사이 구요 왼쪽 아니 저희 특별 수사 에서 지난주 금요일 지급 영석 어요 명성 저희 검거 다고요 과정 에서 대량 대포통장 신용 카드 압수 연결 국민은행 계좌 포함 어서 내일 그럼 국민은행 농협 계좌 계절 뭔지 으시 전화 서울 에서 계절 다고 확인 세요 설정 그렸 다고 확인 전화 드린 고요 본인 명의 지금 주일 대포통장 으로 사용 에서 천만 정도 불법 자금 세탁 어요 사기 사건 여보세요 아니야 시간 정도 여유 어요 에서 지금 카드 직원 습니다 그리고 일본 인제 생활상 어려움 통장 판매 계시 개인 정보 인해 피해 많이 사건 수사 민지 저희 경찰청 입장 에서 사건 통장 판매 세요 처음 말씀 드렸 잖아요 구두 들어왔 다고 혹시 계세요 지금 신고 사기 당했 본인 명의 된지 통장 사건 인데요 언제 떨어져 으니까 함께 신고 고요 저희 시키 려고 전화 드린 고요 우선 사건 직접 저희 감정 인지 아니 정보 유출 인한 회사 인지 여부 판단 위해서 간단 통화 녹음 상태 저희 진행 예요 일단 조사 나중 보내 드릴게요 통화 내용 전부 녹취 해서 거절 고요 간단명료 아니요 그러면 솔직 답변 고요 그럼 녹취 조사 시작 습니다 지금 사건 관한 일주일 전화 과장 입니다 서울 특별 수사 원장 입니다 습니까 계십니까 2015 오후 30 서울 송파구 송파동 지점 에서 대여 계좌 계산 으십니까 오후 40 서울 강남구 역삼동 지점 에서 국민은행 계좌 개설 으십니까 으니까 일단 질문 답변 세요 혹시 통장 탐내 거나 타인 에게 차명 계좌 제대로 사실 으십니까 으시 고요 국민은행 농협 제거 계신 고요 계시 냐고요 말씀 통장 원래 통장 국민은행 비서 한테 으시 냐고 그럼 농협 사용 계시 장기 농협 다른 어떤 생각 계십니까 우체국 인지 사용 계시 고요 혹시 인터넷 스마트폰 뱅킹 뱅킹 거래 신청 습니까 신청 고요 혹시 사용 계좌 본인 모르 입출금 거래 내역 으니까 모르 으시 고요 혹시 지난 주민 등록증 운전 면허증 분실 사실 으십니까 지구 아산 다고요 그럼 니까 에서 지금 까지 경찰청 수사 결과 끝나 인분 처벌 예요 대한민국 헌법 347 본인 아니 더라도 통장 타인 에게 경우 징역 천만 벌금 부과 습니다 습니까 그래도 고등어 들어와서 조사 진행 고요 아니 그냥 보이 피의자 신분 으로 정상 번지 그런데 본인 제거 다고 여보세요 우체국 다네요 노래 본인 계신지 자금 얼마 정도 어요 본인 자금 다고 정상 라고 말씀 으신 농협 얼마 우체국 얼마 건데 그럼 적금 신용 카드 사용 계신 신용 카드 그럼 어디 신용 카드 인지 거래 계셨 진아 라고 한대요 잠시 여보세요 금신 현대 카드 현금 서비스 사용 계신 예요 신청 으시 아서 그런 대신 본인 자금 습니다 말씀 나중 보내 드립니다 면은 지금 다음 으로 보내 드릴 보내 보내 면은 48 시간 동안 시간 비워 으러 거든요 예금 통장 보내 드리 날짜 맞춰서 다시 고요 세요 에서 에서 신분증 맡기 경제 범죄 수사 때문 올라 면은 으실 갑니다 여기 등록증 거든요 걸리 버스 셔야 예요 주소 어떻게 니까 아니요 수고,1,"Hello You've come in.In the process of arresting our arrest, we can include the Kookmin Bank account of the mass bank account credit card.Illegal funds.If you have been reported now, it's a bank account.I'll send you all the contents of the call and rejection. No simple clearing.Do you have a Kookmin Bank account at Yeoksam -dong, Gangnam -gu, Seoul.If you are using the long -term agricultural cooperative, do you want to use the post office? If you apply for an internet smartphone banking banking transaction, apply.In the case of the investigation of the National Police Agency so far, the National Police Agency is punished.How much is your song? How much is your fund?I'm going to send you the money instead. I'll send you later.I'm going to go here. You have to take a bus. How do you do it?",korean
우리 호텔 인데 불구 너무 더라고 그래서 아도 홍콩 쪼그마 더라고 땅값 비싸 니까 인구 니까 그래서 별로 그럴 그냥 서울 굳이 어쨌든 친구 해서 니까 건데 다시 베트남 진짜 심했 베트남 그런 아닌데 그냥 음식,0,"It's our hotel, so it's too much.",korean
그래 그서 경우 처음 아니 했잖아 다고 진짜 아이폰 좋아한다 그냥 진짜 아이폰 한다 흐흐 히읗 히읗 그랬 더니 갑자기 개정 면서 아이폰 인데 아니 지금 아이폰 아니 라는 소릴 아니 아예 맥락 분위기 파악 상황 인지 진짜 진짜 황당,0,"Yes, I didn't do it for the first time.",korean
우선 사건 연결 현미 때문 검찰 셔서 간단 조사 으셔야 혹시 시간 얼마나 걸리 신다 말씀 세요 부산광역시 연제구 법원 습니다 네네 지금 근무 십니까 습니다 그럼 일단 조사 진행 해야 니까 사실 여부 위해서 기본 질문 습니다 본인 피해 밝히 질문 드리 고요 질문 전반 조사 과정 상태 진행 입니다 수사 과정 에서 저희 강압 수사 유도 심문 그리고 본인 께서 허위 진술 부분 에서 다른 기관 에서 심사 들어갈 고요 증거물 사용 때문 여보 께서 거짓말 심심 절대 고요 잠시 여보세요 부산 고급 형사 김나영 수사관 입니다 지금 2015 형제 1375 사건 대한 주사 중입니다 으십니까 남성 절여 모르 십니까 2015 강서구 명지동 지점 에서 부산 통장 개설 사실 습니까 그러 2015 어디 계시 기억 십니까 화요일 입니다 동료 증명 다는 말씀 세요 현재 미터 통장 강서구 명지동 사건 불법 으로 사용 다는 계셨 습니까 핸드폰 계속 부산 사용 말씀 으로 거래 들어오 냐고 으니까 사람 그러 십니까 명절 으로 국민은행 대구은행 말씀 으시 말씀 본인 진술 오늘 계좌 나와서 모두 물못자리 개설 해서 걸로 간주 때문 모두 종결 처리 드릴 입니다 통화 만약 본인 께서 진술 계좌 나왔 경우 모두 불법 개설 해서 걸로 반주 때문 모동 처리 드릴 입니다 농협 으시 으시 재산 신청서 신청 등록 드려야 거든요 그러니까 대구은행 국민은행 농협 화재 습니다 신다고 마지막 으로 거래 날짜 기억 십니까 핑크 아직 어제 까지 다고요 으로 그래 면서 인터넷 뱅킹 모바일 뱅킹 텔레 뱅킹 사용 십니까 습니다 그러 마지막 그래 날짜 언제 까지 라고 용산 잔액 들어오 나빠 거나 전혀 고요 대구은행 운동장 습니까 대략 으로 얘기 니까 국민은행 농협 사용 으려 오래 다고 어요 습니다 그러면 일반 통장 시간 말씀 으시 대구은행 국민은행 습니다 다시 연락 드리,1,"First of all, the prosecution of the case is a simple investigation and a simple investigation. How long will it take.In the process of investigation, our coercion investigation interrogation interrogation and I use false statements to be judged by other institutions.Is it a male pickling? You don't know where you are opening a Busan bank account at Myeongji -dong branch in Gangseo -gu 2015.Oh, I would like to say that, I would like to end the statement of Kookmin Bank's Daegu Bank.It's a drill, I have to register for the application for the application of the Nonghyup Sea.It's a bad or totally in the Yongsan balance.",korean
