Fraud_Type,Transcript
Banking,Hello bank calling noticed suspicious activity account protect funds need account details verification purposes
Lottery,Good day ve free vacation package exotic destination claim prize please provide personal information
Government Official,police department calling identified security breach neighborhood require address social security number investigation purposes
Lottery,Congratulations ve selected winner cash prize receive winnings please share bank account details
Insurance,regret inform insurance policy expire renew policy please provide credit card information phone
Tax,tax department calling outstanding tax payment needs settled immediately avoid legal consequences provide payment details
Email Scam,detected unauthorized access email account secure account need email password security question answers
Tech Support,computer infected virus fix issue need remote access device Please download software provide follow instructions
Discount Offer,ve selected special discount luxury product claim offer share credit card information verification
Survey,conducting survey behalf internet service provider Kindly provide login credentials quality assurance purposes
Government Official,urgent message immigration office residency status question need personal details resolve matter
Lottery,Congratulations ve brand new car lucky draw claim prize share driver s license registration details
Credit Card,detected fraudulent activity credit card prevent unauthorized charges please provide card number expiry date CVV
Loan Offer,ve preapproved loan lowinterest rates proceed application require social security number employment details
Lottery,Hello lottery commission ve substantial cash prize claim winnings provide bank account information transfer
Banking,account compromised secure funds need online banking credentials Please provide username password
Government Grant,calling government grant department qualify grant receive funds provide bank account details verification
PayPal Scam,PayPal account suspended due suspicious activity reactivate need login credentials photo ID verification
Online Store,customer service department popular online store recent order requires additional information Please provide credit card details verification
Discount Offer,ve trip luxurious resort claim prize need credit card information verification purposes
Hacking Scam,regret inform social media account hacked recover please share login credentials us
Utility Bill,urgent message electricity company bill overdue require immediate payment Please provide credit card details processing
Beta Testing,Congratulations ve selected beta tester new mobile app participate need email address app store account details
Charity,calling charity organization generous donation make difference contribute please provide credit card information
Software Renewal,antivirus software expired renew license provide payment details phone
Investment Offer,Hello investment company lucrative opportunity proceed need bank account details fund transfer
Hacking Scam,detected security breach social media account secure please provide username password date birth
Free Trial,ve free trial premium subscription activate need credit card information verification
Warranty,warranty department calling product warranty expire extend provide purchase details credit card information
Discount Offer,Congratulations ve shopping spree claim prize share credit card details verification
Government Census,calling government census bureau update information need social security number home address
Hacking Scam,email account hacked recover need email address password security question answers
Tech Support,technical support team computer critical issue fix need credit card information repair service
Cashback Reward,ve selected cashback reward program participate provide credit card details enrollment
Insurance Survey,conducting survey behalf insurance provider participate provide policy number personal information
Prize Scam,Congratulations ve luxury watch receive prize share address credit card details shipping
Tax Scam,government tax office unpaid taxes avoid legal consequences provide payment details
Utility Discount,ve qualified discount utility bills apply discount require social security number account details
Tech Support,calling technical support team internet connection compromised resolve issue provide login credentials
Prize Scam,Congratulations ve vacation package exclusive destination claim prize provide personal information
Credit Card,credit card company calling card locked security reasons unlock provide card number security code
Survey,ve selected survey consumer preferences participate provide personal information credit card details
Gaming Account,detected security breach online gaming account secure please provide username password date birth
Health Insurance,Hello health insurance company special offer proceed need social security number bank account details
Lottery,Congratulations ve cash prize lottery claim winnings share bank account information transfer
Charity,calling charity foundation support change lives donate please provide credit card information
Email Scam,email account flagged suspicious activity secure please share email address password security question answers
Government Official,government immigration office visa application pending verification proceed provide personal details passport information
Discount Offer,ve selected limitedtime offer claim discount provide credit card details verification
Survey,conducting survey behalf research organization participate provide personal information credit card details
Tech Support,Hello internet service provider connection compromised fix need login credentials credit card information
Lottery,Congratulations ve grand prize lucky draw claim winnings provide personal information bank account details
Credit Card,regret inform credit card compromised secure account please provide card number expiration date CVV
Government Census,government census bureau need social security number home address population data collection
Beta Testing,ve selected beta tester new software release participate provide email address software preferences
Hacking Scam,detected suspicious activity social media account protect privacy please provide username password security answers
Lottery,Congratulations ve luxury vacation package claim prize share personal details credit card information booking
Banking,bank s fraud department suspect unauthorized access account verify identity provide account number PIN
Discount Offer,ve qualified special discount home improvement services proceed provide address credit card details registration
Survey,conducting customer satisfaction survey behalf mobile service provider participate provide phone number personal feedback
Travel Agency,Hello travel agency ve selected free trip claim package provide passport details payment information
Hacking Scam,email account compromised secure please provide email address password alternative contact information
Credit Card,credit card company calling card temporarily blocked unblock provide card number expiration date CVV
Reward,ve cash reward loyal customer receive prize provide personal information bank account details transfer
Banking,identified security breach online banking account protect funds please provide username password security code
Gym Membership,Congratulations ve free membership fitness club claim membership share personal details credit card information
Government Tax,government tax office tax refund pending process refund provide social security number bank account details
Survey,ve selected survey consumer preferences participate provide personal information credit card details verification
PayPal Scam,detected unauthorized activity PayPal account secure please provide account details onetime verification code
Charity,Hello charity foundation support make difference donate provide credit card information donation amount
Prize Scam,Congratulations ve shopping voucher worth substantial amount claim voucher provide personal details payment information
Government Grant,calling government grants department qualify grant receive funds provide bank account details grant application
