translated_words,Label,Words
"I saw 200 in Gwangju Taejang 42 Myeong -dong, Jeolla -do.Bankbook 2016, 16, Gwangmyeong -si, Gyeonggi -do.",1.0,"['saw', '200', 'Gwangju', 'Taejang', '42', 'Myeong', 'dong', 'Jeolla', 'doBankbook', '2016', '16', 'Gwangmyeong', 'si', 'Gyeonggi']"
"This is the number of Seoul Central District, but I contacted you because of the leak of personal information.I contacted Kim Yong -sik's party to know if it was a victim of a stolen person who leaked personal information.Currently, I am curious about the status 2300",1.0,"['number', 'Seoul', 'Central', 'District', 'contacted', 'leak', 'personal', 'informationI', 'contacted', 'Kim', 'Yong', 'siks', 'party', 'know', 'victim', 'stolen', 'person', 'leaked', 'personal', 'informationCurrently', 'curious', 'status', '2300']"
"At the end of the 2005 Kim Chang -ho Steal Incident High School, the Seoul Central Prosecutor's Intelligent Criminal Investigation.Isn't it your name Tongyeong?",1.0,"['end', '2005', 'Kim', 'Chang', 'ho', 'Steal', 'Incident', 'High', 'School', 'Seoul', 'Central', 'Prosecutors', 'Intelligent', 'Criminal', 'InvestigationIsnt', 'name', 'Tongyeong']"
"Originally as a wedding, but it's a wedding trend.",0.0,"['Originally', 'wedding', 'wedding', 'trend']"
"I'm frustrated now. I'm not your name. No, it's a call. I'm frustrated. It's a frustration.It's a real scam to make a perfect dog rice cake, it's convinced now.I'm going to call you now.And so far, all the calls are recorded, so if you report it there, you can report it. Even if you treat it, even if you treat the person, you can record it now.I did it in the police station because I reported it. I'm reporting it. I'm reporting now. I'm reporting. It's our police station. It's our voice phishing.call",1.0,"['Im', 'frustrated', 'Im', 'name', 'call', 'Im', 'frustrated', 'frustrationIts', 'real', 'scam', 'make', 'perfect', 'dog', 'rice', 'cake', 'convinced', 'nowIm', 'going', 'call', 'nowAnd', 'far', 'call', 'recorded', 'report', 'report', 'Even', 'treat', 'even', 'treat', 'person', 'record', 'nowI', 'police', 'station', 'reported', 'Im', 'reporting', 'Im', 'reporting', 'Im', 'reporting', 'police', 'station', 'voice', 'phishingcall']"
Seoul Central Prosecutors' Investigator Kim Jin -ho This is a call for a while.,1.0,"['Seoul', 'Central', 'Prosecutors', 'Investigator', 'Kim', 'Jin', 'ho', 'call']"
"Hello You've come in.In the process of arresting our arrest, we can include the Kookmin Bank account of the mass bank account credit card.Illegal funds.If you have been reported now, it's a bank account.I'll send you all the contents of the call and rejection. No simple clearing.Do you have a Kookmin Bank account at Yeoksam -dong, Gangnam -gu, Seoul.If you are using the long -term agricultural cooperative, do you want to use the post office? If you apply for an internet smartphone banking banking transaction, apply.In the case of the investigation of the National Police Agency so far, the National Police Agency is punished.How much is your song? How much is your fund?I'm going to send you the money instead. I'll send you later.I'm going to go here. You have to take a bus. How do you do it?",1.0,"['Hello', 'Youve', 'come', 'inIn', 'process', 'arresting', 'arrest', 'include', 'Kookmin', 'Bank', 'account', 'mass', 'bank', 'account', 'credit', 'cardIllegal', 'fundsIf', 'reported', 'bank', 'accountIll', 'send', 'content', 'call', 'rejection', 'simple', 'clearingDo', 'Kookmin', 'Bank', 'account', 'Yeoksam', 'dong', 'Gangnam', 'gu', 'SeoulIf', 'using', 'long', 'term', 'agricultural', 'cooperative', 'want', 'use', 'post', 'office', 'apply', 'internet', 'smartphone', 'banking', 'banking', 'transaction', 'applyIn', 'case', 'investigation', 'National', 'Police', 'Agency', 'far', 'National', 'Police', 'Agency', 'punishedHow', 'much', 'song', 'much', 'fundIm', 'going', 'send', 'money', 'instead', 'Ill', 'send', 'laterIm', 'going', 'go', 'take', 'bus']"
"It's our hotel, so it's too much.",0.0,"['hotel', 'much']"
"Yes, I didn't do it for the first time.",0.0,"['Yes', 'didnt', 'first', 'time']"
"First of all, the prosecution of the case is a simple investigation and a simple investigation. How long will it take.In the process of investigation, our coercion investigation interrogation interrogation and I use false statements to be judged by other institutions.Is it a male pickling? You don't know where you are opening a Busan bank account at Myeongji -dong branch in Gangseo -gu 2015.Oh, I would like to say that, I would like to end the statement of Kookmin Bank's Daegu Bank.It's a drill, I have to register for the application for the application of the Nonghyup Sea.It's a bad or totally in the Yongsan balance.",1.0,"['First', 'prosecution', 'case', 'simple', 'investigation', 'simple', 'investigation', 'long', 'takeIn', 'process', 'investigation', 'coercion', 'investigation', 'interrogation', 'interrogation', 'use', 'false', 'statement', 'judged', 'institutionsIs', 'male', 'pickling', 'dont', 'know', 'opening', 'Busan', 'bank', 'account', 'Myeongji', 'dong', 'branch', 'Gangseo', 'gu', '2015Oh', 'would', 'like', 'say', 'would', 'like', 'end', 'statement', 'Kookmin', 'Banks', 'Daegu', 'BankIts', 'drill', 'register', 'application', 'application', 'Nonghyup', 'SeaIts', 'bad', 'totally', 'Yongsan', 'balance']"
