Transcript,Label,translated_words,full_source_language
사실 예전 둘째 성장 앨범 그거 만드 걸렸 근데 둘째 까지 키우 니까 시간 처럼 재워 사진첩 만들 어야 상황 니깐 밤늦 까지 중간 중간 잖아 어리 니깐 그러 니깐 새벽 까지 니깐 선택 사진 예쁜 너무 으니깐 선택 그래서 성장 앨범 만들 까지 걸렸,0.0,"In fact, I got it in the oldest growth album, but I raised it until the second time I had to make a photo album, so it's in the middle until late at night.",korean
평택 미군 부대 갔었 근데 깜짝 놀란 진짜 점심 메뉴 고르 잖아 샌드위치 여기 볶음밥 스파게티 그래서 군인 인데 심지어 편하 카투사 편하 그러 부럽 다고 생각 더라고 그래서 공부 정도 공부 으면 카투사 저렇 지낼 텐데 면서 군대,0.0,"I went to Pyeongtaek US troops, but I was surprised to choose a real lunch menu. Sandwich is a fried rice spaghetti so it's a soldier.",korean
근데 작년 어떤 분위기 냐면 그냥 면서 사람 끼리 마음 편하 니까 놀리 대요 망토 꺼꿀로 나온 사람 거든 그서 언니 한테 망토 꺼꿀로 나왔 다고 지금 해요 사람 잖아 그러 그런 으로 그런 자리 올해 어떻게 될진 모르 엄청 생각 엄청 감성 어서 되게 아픈 그런 영회,0.0,"But what kind of atmosphere last year is, it's just comfortable with people, so it's easy to get off the cloak, but it's a person who came out of my sister.",korean
아니 괜히 서민 지원 누미 네요 필요 자금 얼마 정도 나요 내내 서민 지원 누미 네요 고객 저희 저희 아니 간단 여쭤 진행 여부 말씀 드려 괜찮 저희 중계 아니 고요 저희 자체 나가 KB 금융 자체 에서 으시 예요 아니 고요 저희 사천 에서 으시,1.0,"No, it's a common people's support.",korean
선생 지점 에서 통장 개설 으세요 으시 고요 으로 거래 저녁 습니다 드렸 고요 저희 연락 드리 정확 냐면은 대포 통장 직접 제작 금전 대가 아니면은 무엇 한테 끝장 으셔 부장 대포통장 판매 건지 아니 면은 본인 개인 정보 외부 유출 면서 말씀 정리 드리 면은 피해자 인지 인지 연락 드린 예요 근데 저희 입장 에서 내보내 돈벌이 피해자 라고 저희 피해자 라고 판단 내릴 부분 아니,1.0,"I opened a bank account at the teacher's branch.I contacted you whether it was a victim, but from our point of view, it is not a part of our victims that the money is a victim.",korean
인가 산가 그래 근데 모르 정도 면은 라고 대신 방어 논리 으면 된다고 생각 학점 다고 엄청 아니 잖아 정도 그니까 관심 그거 확실히 열심히 열정 발휘 해서 과정 에서 학점 챙기 못했 건데 근데 확실히 면서 학점 까지 으면은 사람,0.0,"It's a mountain, but I don't know, but I think it's a credibility that you need to defend, but it's not very much.",korean
그런데 불구 정도 나온다고 된다고 더라고 주일 주일 혹은 내지 보름 사이 정도 다고 니까 생각 반경 정도 주일 주일 버티 오르막길 라는 특수 감안 해서 주일 주일 정도 봐야지 그것 보다 빨리 걱정 봐야 그거 약간 한테 부담,0.0,"By the way, it is said that it is said to be coming out, so it is about Sunday or or a full time, so I have to watch the Sunday Sunday, so I have to watch it for about Sunday.",korean
고객 만약 결제 나중 결과 경우 잖아요 그럴 결제 금액 전액 환불 처리 도와 드리 예요 만약 된다고 제작소 말씀 드릴 사거리 까지 고객 부쳐 드릴 건데 말씀 드리 해도 솔직히 대부분 에요 90 말씀 드렸 그대로 고객 저희 에서 조절 때문 약간 뽀로로 진행 비용 조금 지만 무조건 저희 상품 조건 진행 드릴 건데 진행 진행 어떻게 건지 설명 드려 볼게요 저희 개월 동안 신용 관리 해요 바쁘 세요 전화 걸어도 용건 국민은행 지금 산행 우리은행 에서 신용 대출 으면 저희 회사 에서 대출 에서 다른 에서 저희 무조건 진행 드릴 경우 일단 천만 까지 나가 세요 천만 최소 3000 까지 나가 여기 대한 금리 79 적응 드실 예요 개월 동안 신다 저희 고객 고생 시켜 드려 인해 저희 세상 으로 오프로드 으신 예요 저희 작업 나가 정보 어요 저희 지금 고객 등급 자체 하루 아침 지금 저희 등급 확인 까지 만들 드릴 저희 몰라 지금 방문 라고 세요 그쪽 평점 으로 계산 해서 조금 올려 드릴 건데 기간 걸리 고요 세요 계정 보여 영업 대전 등재 내요 고객 다음 천만 처리 예요 근데 개월 신용 걸리버 드린다고 정도 거북 생겨요 신다면 저희 힘드실 정보 대해서 합니다 일단 잠깐 면서 하나 완납 다고 준비 저희 인력 대해서 드리 지금 저희 10 짜리 경우 저희 드린다는 예요 금액 으로 저희 처리 준다는 건데 어떠세요 필요 일단 도와 드릴 여기 대해서 귀요미 총무 대신 예요 사장 저희 평점 등급 고객 변경 려면 권한 와야 거든요 그러 위해서 임의 대출 박스 건데 거기 대해 용서 세요 사실 저희 최소 금액 으로 진행 300 정도 같이 예요 거기 에서 비용 청구 필요 다고 300 정도 향상 시켜 드리 거기 대해서 200 얼마 예요 30 습니다 그럼 그거 으면 니까 아니 지만 세요,1.0,"Customer if you pay for the last result. I'll help you with the full refund of the payment.I'm going to proceed with the product condition. I'll explain how to proceed. I'll be busy with my money.I'm going to go out to 3000 at least 3000 and I'm going to adapt to the Korea Interest Rate 79. We've done it for a month.I'll be a visit to the rating, and I'll take it a little while. It's a long time.I'm going to give us the 10 if we're going to take care of our 10s. How do you need it?At the minimum amount of 300, we need to claim the cost and improve 300.",korean
군대 아니 군대 제대 고생 세상 얼마나 험한 아야지 정신 차리 한다고 그렇게 생각 지금 부터 엄마 서포트 그러 면은 아무것 한다고 일단 어차피 군대 고생 니까 일단 놀리 제대 얼마나 세상 험한지 다음 그때 부터 엄마 지원 해준다든지 생기 면은 그렇게 한다고,0.0,"The military or the military discharge world, how hard it is.",korean
우리 종류 인데요 필요 으시 아닌데 전화 으로,1.0,,
